"SUBJECT"	"SUBJECT_EFFDT"	"SUBJECT_EFF_STATUS"	"SUBJECT_DESCR"	"SUBJECT_DESCRSHORT"	"DEPTID"	"DEPT_DESCRSHORT"	"DEPT_DESCRFORMAL"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"
"LATINOAM"	01-JAN-01	"A"	"Latina/o American Studies"	"Lat Am Std"	"193000"	"American C"	"American Culture Program"	"05.0203"	"Hispanic-American, Puerto Rica"	"Hispanic-American, Puerto Rican, and Mexican- American/Chicano Studies"	"03.08"	"LATIN AMERICAN STUDIES"	"LATIN AMERICAN STUDIES"
"LAW"	01-JAN-01	"A"	"Law"	"Law"	"410000"	"Law School"	"Law School"	"22.0101"	"Law (LL.B., J.D.)"	"Law (LL.B., J.D.)"	"14.00"	"LAW UNCLASSIFIED"	"LAW UNCLASSIFIED"
"LHC"	01-JAN-01	"A"	"Law, History and Communication"	"L H & C"	"380000"	"BUS AD"	"School of Business Administration"	"52.0299"	"Business/Managerial Operations"	"Business/Managerial Operations, Other"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"LHSP"	01-JAN-01	"A"	"Lloyd Hall Scholars Program"	"LHSP"	"170400"	"Lloyd Hall"	"Lloyd Hall Scholars Program"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"24.00"	"FORESTRY UNCLASSIFIED"	"FORESTRY UNCLASSIFIED"
"LING"	01-JAN-01	"A"	"Linguistics"	"Ling"	"181200"	"Linguistic"	"Department of Linguistics"	"16.0102"	"Linguistics"	"Linguistics"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"MACROMOL"	01-JAN-01	"A"	"Macromolecular Science"	"Macromclr"	"211030"	"Macromolec"	"Macromolecular Sci & Engr Ctr"	"40.0507"	"Polymer Chemistry"	"Polymer Chemistry"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"MARC"	01-JAN-01	"A"	"Medieval & Renaiss Collegium"	"Med & Ren"	"179000-SR"	"Med&EMS"	"Medieval and Early Modern Studies"	"30.1301"	"Medieval and Renaissance Studi"	"Medieval and Renaissance Studies"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"MASSCOMM"	01-JAN-01	"A"	"Mass Communications"	"Mass Comm"	"188300"	"Communicat"	"Communication Studies"	"09.0102"	"Mass Communication/ Media Stud"	"Mass Communication/ Media Studies"	"06.00"	"COMMUNICATIONS UNCLASSFD"	"COMMUNICATIONS UNCLASSFD"
"MATH"	01-JAN-01	"A"	"Mathematics"	"Math"	"183000"	"Mathematic"	"Mathematics Department"	"27.0101"	"Mathematics, General"	"Mathematics, General"	"17.00"	"MATHEMATICS UNCLASSIFIED"	"MATHEMATICS UNCLASSIFIED"
"MATSCIE"	01-JAN-01	"A"	"Materials Science Engineering"	"Mat Sci E"	"221800"	"Mat Sc & E"	"Materials Science & Engineering"	"14.1801"	"Materials Engineering"	"Materials Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"MCDB"	01-JAN-01	"A"	"Molec, Cell & Develop Biology"	"MCDB"	"189000"	"Molec"	"Molecular, Cellular, and Developmental Biology"	"26.0204"	"Molecular Biology"	"Molecular Biology"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"MECHENG"	01-JAN-01	"A"	"Mechanical Engineering"	"ME"	"222500"	"Mech Eng &"	"Mech Eng & Applied Mech Dept"	"14.1901"	"Mechanical Engineering"	"Mechanical Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"MEDADM"	01-JAN-01	"A"	"Medical School Administration"	"Med Admin"	"231000"	"Medical Sc"	"Medical School Administration"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"MEDCARE"	02-MAY-00	"A"	"Medical Care Organization"	"Med Care"	"455000"	"PUB HL"	"School Of Public Health"	"51.0701"	"Health/Health Care Administrat"	"Health/Health Care Administration/Management"	"12.02"	"HOSPITAL&HEALTH CARE ADM"	"HOSPITAL&HEALTH CARE ADM"
"MEDCHEM"	01-JAN-01	"A"	"Medicinal Chemistry"	"Med Chem"	"445000"	"PHARM"	"College Of Pharmacy"	"51.2004"	"Medicinal and Pharmaceutical C"	"Medicinal and Pharmaceutical Chemistry"	"63.00"	"PHARMACY"	"PHARMACY"
"MEDEDUC"	01-JAN-01	"A"	"Medical Education"	"Med Educ"	"258000"	"Pg Medicin"	"Pg Medicine & Hlth Prof Edu De"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"MEDELECT"	01-JAN-01	"A"	"Medical Electives"	"Med Elect"	"230000"	"Medical Sc"	"Medical School"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"MEDICINE"	01-JAN-01	"A"	"Medicine"	"Medicine"	"231000"	"Medical Sc"	"Medical School Administration"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"MEDILLUS"	01-JAN-01	"A"	"Medical & Biolog Illustration"	"Med Illus"	"373000"	"ART"	"School Of Art And Design"	"51.2703"	"Medical Illustration/Medical I"	"Medical Illustration/Medical Illustrator"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MEDPH"	01-JAN-01	"A"	"Medical Public Health"	"Med PH"	"230000"	"Medical Sc"	"Medical School"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"MEMS"	01-JAN-01	"A"	"Medieval & Early Modern Std"	"MEMS"	"179000-SR"	"Med&EMS"	"Medieval and Early Modern Studies"	"30.1301"	"Medieval and Renaissance Studi"	"Medieval and Renaissance Studies"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"MENAS"	01-JAN-01	"A"	"Middle Eastern & N African Stu"	"Mid N Afr"	"192500"	"MidE&NAf"	"Center for Middle Eastern & North African Studies"	"05.0108"	"Near and Middle Eastern Studie"	"Near and Middle Eastern Studies"	"03.99"	"OTHER, AREA STUDIES"	"OTHER, AREA STUDIES"
"MFG"	01-JAN-01	"A"	"Manufacturing"	"Mfg"	"210700"	"Manufact"	"Program In Manufacturing"	"14.3601"	"Manufacturing Engineering"	"Manufacturing Engineering"	"09.01"	"ENGINEERING- GENERAL"	"ENGINEERING- GENERAL"
"MHLTH"	29-APR-08	"I"	"Mental Health"	"Mental H"	"465000"	"SOC WK"	"School Of Social Work"	"51.1508"	"Mental Health Counseling/Couns"	"Mental Health Counseling/Counselor"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"
"MHS"	29-APR-08	"I"	"Management Of Human Services"	"MHS"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"MICRBIOL"	01-JAN-01	"A"	"Microbiology"	"Microbiol"	"245000"	"Microbiolo"	"Microbiology And Immunology"	"26.0503"	"Medical Microbiology and Bacte"	"Medical Microbiology and Bacteriology"	"60.00"	"MEDICINE"	"MEDICINE"
"MILSCI"	01-JAN-01	"A"	"Military Science"	"Mil Sci"	"417000"	"AR O E"	"Army Officer Education Program"	"28.0301"	"Army JROTC/ROTC"	"Army JROTC/ROTC"	"18.00"	"MILITARY SCI UNCLASSIFD"	"MILITARY SCI UNCLASSIFD"
"MKT"	01-JAN-01	"A"	"Marketing"	"Mktg"	"380000"	"BUS AD"	"School of Business Administration"	"52.1401"	"Marketing/Marketing Management"	"Marketing/Marketing Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"MO"	01-JAN-01	"A"	"Management & Organizations"	"MO"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.06"	"BUSINESS MGT & ADMINISTR"	"BUSINESS MGT & ADMINISTR"
"MODGREEK"	01-JAN-01	"A"	"Modern Greek"	"Mod Greek"	"174000"	"Classical"	"Classical Studies Department"	"16.0601"	"Modern Greek Language and Lite"	"Modern Greek Language and Literature"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"MOVESCI"	01-JAN-01	"A"	"Movement Science"	"MVS"	"450000"	"KINES"	"School Of Kinesiology"	"31.0505"	"Kinesiology and Exercise Scien"	"Kinesiology and Exercise Science"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"MSP"	01-JAN-01	"A"	"Museum Studies"	"MSP"	"490000"	"RACK"	"Graduate School"	"30.1401"	"Museology/Museum Studies"	"Museology/Museum Studies"	"16.99"	"OTHER, LIBRARY SCIENCE"	"OTHER, LIBRARY SCIENCE"
"MTRNCHLD"	01-JAN-01	"A"	"Maternal and Child Health"	"Mtrn&Chld"	"455000"	"PUB HL"	"School Of Public Health"	"51.3806"	"Maternal/Child Health and Neon"	"Maternal/Child Health and Neonatal Nurse/Nursing."	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"MUSED"	01-JAN-01	"A"	"Music Education"	"Mus Ed"	"420000"	"Music"	"School of Music, Theatre and Dance"	"13.1312"	"Music Teacher Education"	"Music Teacher Education"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MUSEUMS"	18-AUG-12	"A"	"Museums"	"Museums"	"179500"	"History Of"	"History Of Art Department"	"30.1401"	"Museology/Museum Studies"	"Museology/Museum Studies"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"MUSHON"	01-JAN-01	"A"	"Music Honors"	"Mus Hon"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0999"	"Music, Other"	"Music, Other"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MUSIC"	01-JAN-01	"A"	"Music"	"Music"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MUSICOL"	01-JAN-01	"A"	"Musicology"	"Musicol"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0902"	"Music History, Literature, and"	"Music History, Literature, and Theory"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MUSMETH"	01-JAN-01	"A"	"Museum Methods"	"Mus Meth"	"201000"	"Exhibit Mu"	"Exhibit Museum"	"30.1401"	"Museology/Museum Studies"	"Museology/Museum Studies"	"16.99"	"OTHER, LIBRARY SCIENCE"	"OTHER, LIBRARY SCIENCE"
"MUSPERF"	01-JAN-01	"A"	"Music Performance"	"Mus Perf"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"MUSPRACT"	01-JAN-01	"A"	"Museum Practice"	"Mus Pract"	"513200"	"Mus of Art"	"Museum of Art"	"30.1401"	"Museology/Museum Studies"	"Museology/Museum Studies"	"16.99"	"OTHER, LIBRARY SCIENCE"	"OTHER, LIBRARY SCIENCE"
"MUSTHTRE"	01-JAN-01	"A"	"Musical Theatre"	"Mus Thtre"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0509"	"Musical Theatre."	"Musical Theatre."	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"NATIVEAM"	01-JAN-01	"A"	"Native American Studies"	"Nat Am Std"	"193000"	"American C"	"American Culture Program"	"05.0202"	"American Indian/Native America"	"American Indian/Native American Studies"	"03.13"	"AMERICAN STUDIES"	"AMERICAN STUDIES"
"NAVARCH"	01-JAN-01	"A"	"Naval Arch & Marine Engin"	"Nav Arch"	"225500"	"Naval Arch"	"Naval Arch & Marine Engr Dept"	"14.2201"	"Naval Architecture and Marine"	"Naval Architecture and Marine Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"NAVSCI"	01-JAN-01	"A"	"Naval Science"	"Nav Sci"	"418000"	"NA O E"	"Navy Officer Education Program"	"28.0401"	"Navy/Marine Corps JROTC/ROTC"	"Navy/Marine Corps JROTC/ROTC"	"18.00"	"MILITARY SCI UNCLASSIFD"	"MILITARY SCI UNCLASSIFD"
"NEAREAST"	01-JAN-01	"A"	"Near East Studies"	"N East Std"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1199"	"Middle/Near Eastern and Semiti"	"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other"	"03.00"	"AREA STUDIES UNCLASSIFID"	"AREA STUDIES UNCLASSIFID"
"NELC"	01-JAN-01	"A"	"Nr Eastern Literat & Cultures"	"NELC"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1199"	"Middle/Near Eastern and Semiti"	"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other"	"03.00"	"AREA STUDIES UNCLASSIFID"	"AREA STUDIES UNCLASSIFID"
"NERS"	01-JAN-01	"A"	"Nuclear Engin & Radiolog Sci"	"Ne&Rs"	"227000"	"Nuclear En"	"Nuclear Engr & Radiological Sci"	"14.2301"	"Nuclear Engineering"	"Nuclear Engineering"	"09.20"	"NUCLEAR ENGINEERING"	"NUCLEAR ENGINEERING"
"NES"	01-JAN-01	"A"	"Near Eastern Studies"	"Near E"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1199"	"Middle/Near Eastern and Semiti"	"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other"	"03.00"	"AREA STUDIES UNCLASSIFID"	"AREA STUDIES UNCLASSIFID"
"NESLANG"	01-JAN-01	"A"	"Near East Studies Languages"	"NE Std Lan"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1199"	"Middle/Near Eastern and Semiti"	"Middle/Near Eastern and Semitic Languages, Literatures,  and Linguistics, Other"	"03.00"	"AREA STUDIES UNCLASSIFID"	"AREA STUDIES UNCLASSIFID"
"NEUBEHS"	01-JAN-01	"A"	"Neural and Behavioral Sciences"	"NeuBehSci"	"230000"	"Medical Sc"	"Medical School"	"51.1401"	"Medical Scientist (MS, PhD)"	"Medical Scientist (MS, PhD)"	"60.00"	"MEDICINE"	"MEDICINE"
"NEUROL"	01-JAN-01	"A"	"Neurology"	"Neurol"	"246000"	"Neurology"	"Neurology Department"	"60.0234"	"Neurology"	"Neurology"	"60.00"	"MEDICINE"	"MEDICINE"
"NEUROSCI"	01-JAN-01	"A"	"Neuroscience"	"Neurosci"	"307000"	"Neuroscien"	"Center For Neuroscience"	"26.1501"	"Neuroscience."	"Neuroscience."	"60.00"	"MEDICINE"	"MEDICINE"
"NEUSURG"	01-JAN-01	"A"	"Neurosurgery"	"Neurosurg"	"303000"	"Neurosurg"	"Neurosurgery"	"60.0233"	"Neurological Surgery/Neurosurg"	"Neurological Surgery/Neurosurgery"	"60.00"	"MEDICINE"	"MEDICINE"
"NRANLYTC"	02-MAY-00	"I"	"Nat Res Stats, Measure & Mod"	"Nat Res St"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"26.1101"	"Biometry/ Biometrics"	"Biometry/ Biometrics"	"04.19"	"BIOMETRICS &BIOSTATISTCS"	"BIOMETRICS &BIOSTATISTCS"
"NRANMAQ"	02-MAY-00	"I"	"Nat Res Animal & Aquatic Scien"	"NR An&Aq"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRBECOM"	02-MAY-00	"I"	"Nat Res Behavioral & Communica"	"N R Beh"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.9999"	"Natural Resources and Conserva"	"Natural Resources and Conservation, Other"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRE"	01-JAN-01	"A"	"Nat Resources & Environment"	"Nre"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.00"	"AGRICULTURE UNCLASSIFIED"	"AGRICULTURE UNCLASSIFIED"
"NRECOL"	02-MAY-00	"I"	"Natural Resources Ecology"	"Nat Res"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRINDI"	02-MAY-00	"I"	"Nat Resources Independent Stu"	"NRINDI"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRINTRO"	02-MAY-00	"I"	"Natural Resources Introductory"	"Nat Res In"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRLA"	01-JAN-01	"A"	"Environmental Design - Landsca"	"NRLA"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"04.0401"	"Environmental Design/Architect"	"Environmental Design/Architecture"	"02.01"	"ENVIRONMENTAL DESIGN-GEN"	"ENVIRONMENTAL DESIGN-GEN"
"NRMGMT"	02-MAY-00	"I"	"Management of Natural Resource"	"NRMGMT"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.0101"	"Natural Resources/Conservation"	"Natural Resources/Conservation, General"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRPLANTS"	01-JAN-01	"A"	"Plant & Soil Sciences"	"NRPLANT"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.9999"	"Natural Resources and Conserva"	"Natural Resources and Conservation, Other"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRPOLEC"	02-MAY-00	"I"	"Nat Res Policy, Admin & Econom"	"N R Pol Ec"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.9999"	"Natural Resources and Conserva"	"Natural Resources and Conservation, Other"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NRRESPL"	01-JAN-01	"A"	"Resource Planning"	"NRRESPL"	"435000"	"NR & E"	"Sch Of Nat Resources & Environ"	"03.9999"	"Natural Resources and Conserva"	"Natural Resources and Conservation, Other"	"01.15"	"NATURAL RESOURCES MGT"	"NATURAL RESOURCES MGT"
"NSC"	01-JAN-01	"A"	"Nursing Second Career"	"Nurs S C"	"440000"	"NURS"	"School Of Nursing"	"51.3801"	"Registered Nursing/Registered"	"Registered Nursing/Registered Nurse."	"64.00"	"NURSING (BACCALAURATE&OTHER)"	"NURSING (BACCALAURATE AND OTHER PROGRAMS)"
"NURS"	01-JAN-01	"A"	"Nursing"	"Nurs"	"440000"	"NURS"	"School Of Nursing"	"51.3801"	"Registered Nursing/Registered"	"Registered Nursing/Registered Nurse."	"64.00"	"NURSING (BACCALAURATE&OTHER)"	"NURSING (BACCALAURATE AND OTHER PROGRAMS)"
"NUTR"	01-JAN-01	"A"	"Nutritional Sciences"	"Nutr Scien"	"457500"	"Environmen"	"Environmental Health Sciences"	"30.1901"	"Nutrition Sciences"	"Nutrition Sciences"	"04.24"	"NUTRITION-SCIENTIFIC"	"NUTRITION-SCIENTIFIC"
"OB"	01-JUN-04	"I"	"Org Behavior & HR Mgt"	"Obhrm"	"380000"	"BUS AD"	"School of Business Administration"	"52.1003"	"Organizational Behavior Studie"	"Organizational Behavior Studies"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"OBOE"	01-JAN-01	"A"	"Oboe"	"Oboe"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"OBSTGYN"	01-JAN-01	"A"	"Obstetrics and Gynecology"	"Ob/Gyn"	"247000"	"Obstetrics"	"Obstetrics And Gynecology Dept"	"60.0238"	"Obstetrics and Gynecology"	"Obstetrics and Gynecology"	"60.00"	"MEDICINE"	"MEDICINE"
"OM"	01-JAN-01	"A"	"Operations Management"	"Oper Mgt"	"380000"	"BUS AD"	"School of Business Administration"	"52.0205"	"Operations Management and Supe"	"Operations Management and Supervision"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"OMS"	01-JAN-01	"A"	"Operations & Management Sci"	"OMS"	"380000"	"BUS AD"	"School of Business Administration"	"52.0205"	"Operations Management and Supe"	"Operations Management and Supervision"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"OPERA"	01-JAN-01	"A"	"Opera"	"Opera"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0908"	"Voice and Opera"	"Voice and Opera"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"OPHTH"	01-JAN-01	"A"	"Ophthalmology"	"Ophth"	"248000"	"Ophthalmol"	"Ophthalmology Department"	"60.0241"	"Ophthalmology"	"Ophthalmology"	"60.00"	"MEDICINE"	"MEDICINE"
"ORALBIOL"	01-JAN-01	"A"	"Oral Biology"	"Oral Biol"	"390000"	"DENT"	"School Of Dentistry"	"51.0503"	"Oral Biology and Oral Patholog"	"Oral Biology and Oral Pathology (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORALDIAG"	01-JAN-01	"A"	"Oral Diagnosis"	"Oral Diag"	"390000"	"DENT"	"School Of Dentistry"	"51.0503"	"Oral Biology and Oral Patholog"	"Oral Biology and Oral Pathology (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORALHEAL"	01-JAN-01	"A"	"Oral Health Sciences"	"Oral Heal"	"390000"	"DENT"	"School Of Dentistry"	"51.0503"	"Oral Biology and Oral Patholog"	"Oral Biology and Oral Pathology (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORALPATH"	01-JAN-01	"A"	"Oral Pathology"	"Oral Path"	"390000"	"DENT"	"School Of Dentistry"	"51.0503"	"Oral Biology and Oral Patholog"	"Oral Biology and Oral Pathology (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORALSURG"	01-JAN-01	"A"	"Oral Surgery"	"Oral Surg"	"390000"	"DENT"	"School Of Dentistry"	"51.0507"	"Oral/Maxillofacial Surgery (Ce"	"Oral/Maxillofacial Surgery (Cert, MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORGAN"	01-JAN-01	"A"	"Organ"	"Organ"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0907"	"Piano and Organ"	"Piano and Organ"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ORGANLIT"	01-JAN-01	"A"	"Organ Literature"	"Organ Lit"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0902"	"Music History, Literature, and"	"Music History, Literature, and Theory"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ORGSTUDY"	01-JAN-01	"A"	"Organizational Studies"	"OrgStudy"	"174700"	"Org Study"	"Organizational Studies"	"52.1003"	"Organizational Behavior Studie"	"Organizational Behavior Studies"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"ORTHO"	01-JAN-01	"A"	"Orthodontics"	"Ortho"	"390000"	"DENT"	"School Of Dentistry"	"51.0508"	"Orthodontics/Orthodontology (C"	"Orthodontics/Orthodontology (Cert, MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ORTHSURG"	01-JAN-01	"A"	"Orthopaedic Surgery"	"Orthosurg"	"304000"	"Orthopaed"	"Orthopaedic Surgery"	"60.0242"	"Orthopedics/Orthopedic Surgery"	"Orthopedics/Orthopedic Surgery"	"60.00"	"MEDICINE"	"MEDICINE"
"OTO"	01-JAN-01	"A"	"Otorhinolaryngology"	"Oto"	"249000"	"Otorhinola"	"Otorhinolaryngology Department"	"60.0243"	"Otolaryngology"	"Otolaryngology"	"60.00"	"MEDICINE"	"MEDICINE"
"P&E"	29-APR-08	"I"	"Policy and Evaluation"	"Pol&Eval"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"PAT"	01-JAN-01	"A"	"Performing Arts & Technology"	"Arts-Tech"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.9999"	"Visual and Performing Arts, Ot"	"Visual and Performing Arts, Oth-er"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"PATH"	01-JAN-01	"A"	"Pathology"	"Path"	"251000"	"Pathology"	"Pathology Department"	"26.0910"	"Pathology/Experimental Patholo"	"Pathology/Experimental Pathology"	"60.00"	"MEDICINE"	"MEDICINE"
"PC"	01-MAY-01	"I"	"Policy And Control"	"Plcy-Ctrl"	"380000"	"BUS AD"	"School of Business Administration"	"52.1201"	"Management Information Systems"	"Management Information Systems, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"PEDDENT"	01-JAN-01	"A"	"Pediatric Dentistry"	"Ped Dent"	"390000"	"DENT"	"School Of Dentistry"	"51.0509"	"Pediatric Dentistry/Pedodontic"	"Pediatric Dentistry/Pedodontics (Cert, MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"PEDIAT"	01-JAN-01	"A"	"Pediatrics"	"Peds"	"252000"	"Pediatrics"	"Pediatrics & Comm Diseases Dep"	"60.0251"	"Pediatrics"	"Pediatrics"	"60.00"	"MEDICINE"	"MEDICINE"
"PERCUSS"	01-JAN-01	"A"	"Percussion"	"Percuss"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"PERIODON"	01-JAN-01	"A"	"Periodontics"	"Periodont"	"390000"	"DENT"	"School Of Dentistry"	"51.0510"	"Periodontics/Periodontology (C"	"Periodontics/Periodontology (Cert, MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"PERSIAN"	01-JAN-01	"A"	"Persian"	"Persian"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.0801"	"Iranian/Persian Languages, Lit"	"Iranian/Persian Languages, Literatures, and Linguistics"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"PGDENT"	01-JAN-01	"A"	"Post Graduate Dentistry"	"P G Dent"	"390000"	"DENT"	"School Of Dentistry"	"51.0501"	"Dental Clinical Sciences, Gene"	"Dental Clinical Sciences, General (MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
